ID,Name,Manufacturer,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Maintenance,actual cost
0,Wagon R,Maruti,2010,72000,CNG,Manual,1,998,58.16,5,26.6,175000.0,27670,750000
1,Creta 1.6,Hyundai,2015,41000,Diesel,Manual,1,1582,126.2,5,19.67,1250000.0,38536,1500000
2,Jazz V,Honda,2011,46000,Petrol,Manual,1,1199,88.7,5,18.2,450000.0,32446,900000
3,Ertiga VDI,Maruti,2012,87000,Diesel,Manual,1,1248,88.76,7,20.77,600000.0,49850,1050000
4,A4 New,Audi,2013,40670,Diesel,Automatic,2,1968,140.8,5,15.2,1773999.9999999998,325000,5500000
5,EON LPG,Hyundai,2012,75000,LPG,Manual,1,814,55.2,5,21.1,235000.0,25000,400000
6,Micra Diesel,Nissan,2013,86999,Diesel,Manual,1,1461,63.1,5,23.08,350000.0,25000,700000
7,Innova Crysta,Toyota,2016,36000,Diesel,Automatic,1,2755,171.5,8,11.36,1750000.0,55000,1999000
8,Vento Diesel,Volkswagen,2013,64430,Diesel,Manual,1,1598,103.6,5,20.54,520000.0,35484,1300000
9,Indica Vista,Tata,2012,65932,Diesel,Manual,2,1248,74.0,5,22.3,195000.0,25000,500000
10,Ciaz Zeta,Maruti,2018,25692,Petrol,Manual,1,1462,103.25,5,21.56,994999.9999999999,32235,1030000
11,City 1.5,Honda,2012,60000,Petrol,Automatic,1,1497,116.3,5,16.8,449000.0,36600,1425000
12,Swift VDI,Maruti,2015,64424,Diesel,Manual,1,1248,74.0,5,25.2,560000.0,39160,775000
13,Rover Range,Land,2014,72000,Diesel,Automatic,1,2179,187.7,5,12.7,2700000.0,1600000,30000000
14,Rover Freelander,Land,2012,85000,Diesel,Automatic,2,2179,115.0,5,0.0,1750000.0,250000,5000000
15,Pajero Sport,Mitsubishi,2014,110000,Diesel,Manual,1,2477,175.56,7,13.5,1500000.0,200000,3000000
16,Amaze S,Honda,2016,58950,Diesel,Manual,1,1498,98.6,5,25.8,540000.0,42830,889000
17,Swift DDiS,Maruti,2017,25000,Diesel,Manual,1,1248,74.0,5,28.4,599000.0,39160,775000
18,Duster 85PS,Renault,2014,77469,Diesel,Manual,1,1461,83.8,5,20.45,634000.0,35700,1250000
19,New C-Class,MercedesBenz,2014,78500,Diesel,Automatic,1,2143,167.62,5,14.84,2800000.0,650000,7000000
20,3 Series,BMW,2014,32982,Diesel,Automatic,1,1995,190.0,5,22.69,1855000.0,450000,5500000
21,S Cross,Maruti,2015,55392,Diesel,Manual,2,1248,88.5,5,23.65,825000.0,"42,120",1100000
22,A6 2011-2015,Audi,2015,55985,Petrol,Automatic,1,1984,177.01,5,13.53,2350000.0,350000,6500000
23,i20 1.2,Hyundai,2010,45807,Petrol,Manual,1,1197,80.0,5,18.5,187000.0,27500,725000
24,Vento Petrol,Volkswagen,2010,33000,Petrol,Automatic,1,1598,103.6,5,14.4,285000.0,35484,1300000
25,City Corporate,Honda,2012,51920,Petrol,Manual,1,1497,116.3,5,16.8,425000.0,36600,1425000
26,Micra Diesel,Nissan,2012,54000,Diesel,Manual,1,1461,63.1,5,23.08,425000.0,25000,700000
27,Alto K10,Maruti,2013,54000,Petrol,Manual,2,998,67.1,5,20.92,275000.0,20000,400000
28,WRV i-VTEC,Honda,2018,37430,Petrol,Manual,1,1199,88.7,5,17.5,990000.0,38510,1000000
29,Innova 2.5,Toyota,2007,262000,Diesel,Manual,4,2494,102.0,7,12.8,400000.0,85000,2000000
30,Duster 110PS,Renault,2013,62000,Diesel,Manual,1,1461,108.45,5,19.01,775000.0,35700,1250000
31,Corolla Altis,Toyota,2012,87615,Petrol,Manual,1,1798,138.1,5,14.53,675000.0,50000,1600000
32,Ssangyong Rexton,Mahindra,2013,72000,Diesel,Automatic,2,2696,184.0,7,11.18,1250000.0,75000,2100000
33,A6 2.7,Audi,2010,35000,Diesel,Automatic,1,2698,179.5,5,12.4,1150000.0,350000,6500000
34,Vento 1.6,Volkswagen,2014,55431,Petrol,Manual,2,1598,103.5,5,16.09,698000.0,35484,1300000
35,Wagon R,Maruti,2009,83816,Petrol,Manual,2,1061,64.0,5,14.0,185000.0,27670,750000
36,Vitara Brezza,Maruti,2018,50075,Diesel,Manual,1,1248,88.5,5,24.3,863000.0000000001,39170,1125000
37,KUV 100,Mahindra,2017,52000,Petrol,Manual,1,1198,82.0,5,18.15,484999.99999999994,30000,700000
38,M-Class ML,MercedesBenz,2013,85000,Diesel,Automatic,1,2987,254.8,5,11.74,2800000.0,600000,6000000
39,Polo Diesel,Volkswagen,2013,62000,Diesel,Manual,1,1199,73.9,5,22.07,500000.0,31360,800000
40,Alto LXi,Maruti,2008,90000,Petrol,Manual,2,796,46.3,5,19.7,125000.0,20000,400000
41,Nano LX,Tata,2014,19698,Petrol,Manual,1,624,37.5,4,25.4,153000.0,12000,250000
42,KUV 100,Mahindra,2017,22033,Diesel,Manual,1,1198,77.0,6,25.32,558000.0,30000,700000
